volume,pagina,book,value
2,455,Is,49:12
2,456,Is,49:14
2,457,Is,49:17
2,460,Is,49:17
2,461,Is,49:19
2,462,Is,49:21
2,463,Is,49:24
2,464,Is,50:4
2,465,Is,50:11
2,467,Is,51:4
2,468,Is,51:16
2,469,Is,51:19
2,470,Is,51:23
2,471,Is,52:2
2,474,Is,52:5
2,475,Is,52:6
2,476,Is,52:8
2,477,Is,52:14
2,478,Is,52:15
2,489,Is,53:3
2,490,Is,53:5
2,491,Is,53:8
2,493,Is,53:9
2,494,Is,53:10
2,497,Is,53:11
2,498,Is,53:12
2,501,Is,54:2
2,502,Is,54:13
2,503,Is,55:1
2,504,Is,56:5
2,505,Is,56:12
2,506,Is,57:9
2,507,Is,57:11
2,508,Is,57:17
2,509,Is,57:18
2,510,Is,59:18
2,511,Is,60:1
2,512,Is,60:5
2,513,Is,60:7
2,514,Is,60:19
2,515,Is,61:6
2,517,Is,61:7
2,517,Is,61:9
2,518,Is,61:8
2,520,Is,62:5
2,523,Is,63:1
2,525,Is,63:3
2,526,Is,63:6
2,528,Is,63:9
2,531,Is,63:11
2,535,Is,63:14
2,536,Is,63:15
2,538,Is,63:18
2,539,Is,64:2
2,540,Is,64:3
2,541,Is,64:4
2,544,Is,64:6
2,545,Is,65:1
2,546,Is,65:4
2,547,Is,65:5
2,548,Is,65:7
2,550,Is,65:18
2,551,Is,66:2
2,552,Is,66:5
2,554,Is,66:12
2,555,Is,66:17
2,556,Is,66:18
2,558,Is,66:19
2,560,Jr,2:16
2,561,Jr,2:17
2,563,Jr,2:21
2,565,Jr,2:24
2,567,Jr,2:31
2,568,Jr,2:34
2,569,Jr,2:36
2,570,Jr,3:1
2,573,Jr,3:5
2,574,Jr,3:8
2,575,Jr,3:9
2,576,Jr,3:19
2,577,Jr,3:23
2,579,Jr,4:2
2,580,Jr,4:16
2,581,Jr,4:20
2,582,Jr,4:29
2,585,Jr,4:30
2,586,Jr,5:2
2,587,Jr,5:7
2,589,Jr,5:13
2,590,Jr,5:16
2,591,Jr,5:22
2,592,Jr,5:26
2,595,Jr,6:2
2,598,Jr,6:6
2,599,Jr,6:9
2,601,Jr,6:11
2,602,Jr,6:15
2,603,Jr,6:27
2,606,Jr,6:29
2,607,Jr,7:3
2,609,Jr,7:4
2,610,Jr,7:24
2,611,Jr,7:25
2,612,Jr,7:31
